City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
524,mirnyy,62.5353,113.9611,-32.65,74,71,0.89,RU,1706631802
525,broken hill,-31.95,141.4333,21.99,35,0,9.71,AU,1706631802
526,isla del bosque,22.7333,-105.85,24.97,50,69,0.68,MX,1706631802
527,kristiansund,63.1115,7.732,2.36,55,0,0.51,NO,1706631803
528,nastola,60.95,25.9333,-2.87,96,99,1.36,FI,1706631803
529,alta,69.9689,23.2717,3.59,75,40,2.06,NO,1706631803
530,sola,-13.8833,167.55,26.21,84,91,1.56,VU,1706631803
531,jiuquan,39.7432,98.5174,-5.05,41,89,2.94,CN,1706631804
532,poso,-1.3959,120.7524,26.03,80,84,1.32,ID,1706631804
533,nellore,14.4333,79.9667,21.76,75,24,2.46,IN,1706631804
534,broome,42.2506,-75.833,-0.62,91,100,3.6,US,1706631804
535,bodaybo,57.8506,114.1933,-39.81,100,56,0.74,RU,1706631804
536,morondava,-20.2833,44.2833,27.83,76,36,3.07,MG,1706631805
537,island harbour,50.724,-1.2758,8.85,79,100,1.34,GB,1706631805
538,novosergiyevka,52.0934,53.6528,-4.28,97,100,2.75,RU,1706631805
539,brokopondo,4.75,-55.1667,30.3,60,49,2.09,SR,1706631805
540,kalmunai,7.4167,81.8167,25.82,85,24,2.02,LK,1706631805
541,izluchinsk,60.9794,76.9242,-21.66,99,27,3.9,RU,1706631805
542,karasburg,-28.0167,18.75,33.48,15,93,4.28,NA,1706631806
543,farmington,36.7281,-108.2187,9.0,86,0,5.14,US,1706631806
544,kenai,60.5544,-151.2583,-18.25,78,100,3.6,US,1706631806
545,el aouinet,35.8669,7.8867,15.13,45,14,2.57,DZ,1706631806
546,basoko,1.2391,23.616,33.44,34,77,0.76,CD,1706631806
547,nantucket,41.2835,-70.0995,-0.56,69,100,8.75,US,1706631583
548,ta`u,-14.2336,-169.5144,28.46,79,97,3.07,AS,1706631596
549,harstad,68.799,16.5293,4.79,82,100,19.22,NO,1706631807
550,ola,59.5833,151.2833,-25.95,86,54,3.57,RU,1706631807
551,heihe,50.2441,127.4902,-30.34,100,88,1.37,CN,1706631807
552,khovd,48.0056,91.6419,-21.17,93,12,0.41,MN,1706631808
553,shuangjiang,26.1547,109.7138,9.42,99,100,0.53,CN,1706631808
554,santa ana de yacuma,-13.75,-65.4333,27.97,83,100,1.54,BO,1706631808
555,east ballina,-28.8667,153.5833,22.11,82,100,2.99,AU,1706631808
556,oppdal,62.5943,9.6912,-8.67,57,84,3.86,NO,1706631808
557,kununurra,-15.7667,128.7333,24.99,88,40,2.06,AU,1706631808
